indicator_id,indicator_name,domain,agency_name,dimension_category,dimension,industry,interval,period,unit,value
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Prefer not to say or Blank,,Calendar Year,2020,individual,1
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race,Asian (non-Hispanic),,Calendar Year,2020,individual,1710
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race,Black/African American/African (non-Hispanic),,Calendar Year,2020,individual,25290
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race,Other,,Calendar Year,2020,individual,3111
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race,Prefer not to say or Blank,,Calendar Year,2020,individual,1468
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race,White,,Calendar Year,2020,individual,9056
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2020,individual,1575
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2020,individual,17255
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2020,individual,17608
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Other,,Calendar Year,2020,individual,1174
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2020,individual,251
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,White,,Calendar Year,2020,individual,2772
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Female/Woman,,Calendar Year,2021,individual,18872
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Male/Man,,Calendar Year,2021,individual,16780
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Gender,Prefer not to say or Blank,,Calendar Year,2021,individual,2
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2021,individual,1391
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2021,individual,15024
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2021,individual,15441
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Other,,Calendar Year,2021,individual,1105
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2021,individual,253
103,ACS Family Service Unit Service Recipients,Personal and Community Safety,Administration for Children's Services (ACS),Race_Ethnicity,White,,Calendar Year,2021,individual,2440
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,22 to 34,,Calendar Year,2020,individual,2673
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,35 to 44,,Calendar Year,2020,individual,2198
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,45 to 54,,Calendar Year,2020,individual,1677
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,55 to 64,,Calendar Year,2020,individual,1235
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,65 and over,,Calendar Year,2020,individual,894
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,Prefer not to say or Blank,,Calendar Year,2020,individual,176
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,Under 21,,Calendar Year,2020,individual,842
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Bronx,,Calendar Year,2020,individual,2440
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Brooklyn,,Calendar Year,2020,individual,2907
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Manhattan,,Calendar Year,2020,individual,820
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Other,,Calendar Year,2020,individual,214
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Prefer not to say or Blank,,Calendar Year,2020,individual,321
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Queens,,Calendar Year,2020,individual,2689
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Staten Island,,Calendar Year,2020,individual,304
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Female/Woman,,Calendar Year,2020,individual,5462
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Male/Man,,Calendar Year,2020,individual,4057
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Other,,Calendar Year,2020,individual,19
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Prefer not to say or Blank,,Calendar Year,2020,individual,157
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,22 to 34,,Calendar Year,2021,individual,3113
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,35 to 44,,Calendar Year,2021,individual,2611
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,45 to 54,,Calendar Year,2021,individual,1982
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,55 to 64,,Calendar Year,2021,individual,1394
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,65 and over,,Calendar Year,2021,individual,1123
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,Prefer not to say or Blank,,Calendar Year,2021,individual,1012
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Age,Under 21,,Calendar Year,2021,individual,1417
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Bronx,,Calendar Year,2021,individual,3318
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Brooklyn,,Calendar Year,2021,individual,3257
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Manhattan,,Calendar Year,2021,individual,1126
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Other,,Calendar Year,2021,individual,300
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Prefer not to say or Blank,,Calendar Year,2021,individual,585
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Queens,,Calendar Year,2021,individual,3707
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Borough,Staten Island,,Calendar Year,2021,individual,359
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Female/Woman,,Calendar Year,2021,individual,7079
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Male/Man,,Calendar Year,2021,individual,5091
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Other,,Calendar Year,2021,individual,20
179,ActionNYC Service Recipients,Empowered Residents and Neighborhoods,Mayor's Office of Immigrant Affairs (MOIA),Gender,Prefer not to say or Blank,,Calendar Year,2021,individual,462
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Cisgender),,Point in Time,2019,family,2945
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Transgender),,Point in Time,2019,family,14
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Cisgender),,Point in Time,2019,family,2372
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Transgender),,Point in Time,2019,family,6
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Non-binary,,Point in Time,2019,family,0
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Prefer not to say or Blank,,Point in Time,2019,family,0
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Asian (non-Hispanic),,Point in Time,2019,family,45
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Point in Time,2019,family,2845
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Hispanic/Latina/o/x,,Point in Time,2019,family,1789
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Point in Time,2019,family,22
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Point in Time,2019,family,5
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Prefer not to say or Blank,,Point in Time,2019,family,134
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,White,,Point in Time,2019,family,497
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Cisgender),,Point in Time,2020,family,2417
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Transgender),,Point in Time,2020,family,11
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Cisgender),,Point in Time,2020,family,1930
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Transgender),,Point in Time,2020,Individual,3
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Non-binary,,Point in Time,2020,family,0
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Prefer not to say or Blank,,Point in Time,2020,family,0
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Asian (non-Hispanic),,Point in Time,2020,family,41
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Point in Time,2020,family,2335
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Hispanic/Latina/o/x,,Point in Time,2020,family,1463
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Point in Time,2020,family,19
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Point in Time,2020,family,11
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Prefer not to say or Blank,,Point in Time,2020,family,111
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,White,,Point in Time,2020,family,381
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Cisgender),,Point in Time,2021,family,1814
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Female/Woman (Transgender),,Point in Time,2021,family,7
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Cisgender),,Point in Time,2021,family,1446
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Male/Man (Transgender),,Point in Time,2021,individual,2
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Gender,Non-binary,,Point in Time,2021,family,0
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Asian (non-Hispanic),,Point in Time,2021,family,22
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Black/African American/African (non-Hispanic),,Point in Time,2021,family,1709
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Hispanic/Latina/o/x,,Point in Time,2021,family,1110
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Point in Time,2021,family,14
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Point in Time,2021,family,10
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,Prefer not to say or Blank,,Point in Time,2021,family,100
62,Adult Families in Shelters,Housing,Department of Homeless Services (DHS),Race_Ethnicity,White,,Point in Time,2021,family,304
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2019,individual,2399
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Non Hispanic or Latinx,,Calendar Year,2019,individual,4692
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Prefer not to say or Blank,,Calendar Year,2019,individual,158
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman (Cisgender),,Calendar Year,2019,individual,1595
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man (Cisgender),,Calendar Year,2019,individual,5595
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Other,,Calendar Year,2019,individual,26
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Prefer not to say or Blank,,Calendar Year,2019,individual,33
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2019,individual,89
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2019,individual,3604
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2019,individual,2399
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Multiracial/Multiethnic,,Calendar Year,2019,individual,9
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Calendar Year,2019,individual,24
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Calendar Year,2019,individual,6
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Other,,Calendar Year,2019,individual,366
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2019,individual,158
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,White,,Calendar Year,2019,individual,594
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2020,individual,656
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Non Hispanic or Latinx,,Calendar Year,2020,individual,1260
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Ethnicity,Prefer not to say or Blank,,Calendar Year,2020,individual,78
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman (Cisgender),,Calendar Year,2020,individual,406
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman (Transgender),,Calendar Year,2020,individual,6
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man (Cisgender),,Calendar Year,2020,individual,1546
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man (Transgender),,Calendar Year,2020,individual,2
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Other,,Calendar Year,2020,individual,4
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Prefer not to say or Blank,,Calendar Year,2020,individual,30
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2020,individual,22
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2020,individual,934
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2020,individual,656
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Multiracial/Multiethnic,,Calendar Year,2020,individual,17
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Calendar Year,2020,individual,8
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Calendar Year,2020,individual,3
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Other,,Calendar Year,2020,individual,99
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2020,individual,79
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,White,,Calendar Year,2020,individual,176
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman (Cisgender),,Calendar Year,2021,individual,333
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman (Transgender),,Calendar Year,2021,individual,5
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man (Cisgender),,Calendar Year,2021,individual,1125
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man (Transgender),,Calendar Year,2021,individual,3
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Other,,Calendar Year,2021,individual,0
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Prefer not to say or Blank,,Calendar Year,2021,individual,16
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2021,individual,21
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2021,individual,683
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Hispanic/Latina/o/x,,Calendar Year,2021,individual,538
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Multiracial/Multiethnic,,Calendar Year,2021,individual,25
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native American or Alaska Native (non-Hispanic),,Calendar Year,2021,individual,5
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Native Hawaiian or Other Pacific Islander (non-Hispanic),,Calendar Year,2021,individual,2
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Other,,Calendar Year,2021,individual,47
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Prefer not to say or Blank,,Calendar Year,2021,individual,45
113,Alternatives to Incarceration Enrollees,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,White,,Calendar Year,2021,individual,120
114,Anti-Gun Violence Employment Program Participants,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Female/Woman,,Calendar Year,2019,individual,111
114,Anti-Gun Violence Employment Program Participants,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Gender,Male/Man,,Calendar Year,2019,individual,171
114,Anti-Gun Violence Employment Program Participants,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Asian (non-Hispanic),,Calendar Year,2019,individual,2
114,Anti-Gun Violence Employment Program Participants,Personal and Community Safety,Mayor's Office of Criminal Justice (MOCJ),Race_Ethnicity,Black/African American/African (non-Hispanic),,Calendar Year,2019,individual,223
